"기준일자","아티스트","국가명","권역명","방문자수","적극활동유저수","적극활동유저비율","미디어조회유저","미디어조회유저비율","미디어반응유저수","미디어반응유저비율","팬레터작성유저수","팬레터작성유저비율","포스트작성유저수","포스트작성유저비율","포스트반응유저수","포스트반응유저비율","포스트&팬레터반응유저수","포스트&팬레터반응유저비율"
"2026-02-01","TOTAL","TOTAL","Indonesia","963151.0","676420.0","0.7022990164574402","572273.0","0.8460320510925164","155126.0","0.22933384583542768","19497.0","0.028823807693444902","80301.0","0.11871470388220337","433091.0","0.640269359273824","441251.0","0.6523328701102865"
"2026-02-01","TOTAL","TOTAL","EUROPE","974924.0","706631.0","0.7248062413070147","657793.0","0.9308861343473468","132576.0","0.18761701651923","21541.0","0.030484085753384724","75068.0","0.10623366368019518","341064.0","0.4826620966246881","351408.0","0.4973005713024195"
"2026-02-01","TOTAL","TOTAL","Korea Rep.","1115058.0","798421.0","0.7160353990554751","735733.0","0.9214850310800944","139169.0","0.17430528505638004","25592.0","0.03205326513205439","112505.0","0.1409093698687785","425956.0","0.533497991661041","437543.0","0.5480103854983774"
"2026-02-01","TOTAL","TOTAL","Japan","1431718.0","917121.0","0.6405737722093318","859958.0","0.9376712560283758","143389.0","0.15634687244104103","22756.0","0.024812429330480928","75823.0","0.08267502325211178","414986.0","0.45248773062660214","427799.0","0.4664586243254707"
"2026-02-01","TOTAL","TOTAL","Other Asia","2249398.0","1648502.0","0.732863637293178","1439562.0","0.8732546275345738","372318.0","0.2258523192571195","61631.0","0.03738606322588629","200888.0","0.12186093799097605","1020671.0","0.6191505985434048","1041999.0","0.6320884051096086"
"2026-01-01","TOTAL","TOTAL","OCEANIA","87604.0","53146.0","0.6066617962650107","49608.0","0.9334286681970421","8750.0","0.16464080081285515","1095.0","0.02060362021600873","3691.0","0.06945019380574267","22398.0","0.42144281789786625","22920.0","0.43126481767207314"
"2026-01-01","TOTAL","TOTAL","Canada","134408.0","65557.0","0.4877462651032677","59959.0","0.914608661165093","10386.0","0.15842701770977927","1126.0","0.017175892734566864","4919.0","0.07503393993013713","27475.0","0.41910093506414264","28351.0","0.4324633525024025"
"2026-01-01","TOTAL","TOTAL","AFRICA","101519.0","69118.0","0.680838069720939","63269.0","0.9153766023322434","16699.0","0.24160131948262392","1630.0","0.02358285830029804","4501.0","0.06512051853352238","29378.0","0.42504123383199743","30050.0","0.4347637373766602"
"2026-01-01","TOTAL","TOTAL","MIDDLE EAST","243754.0","169044.0","0.6935024656005645","156973.0","0.9285925557842929","39649.0","0.23454840159958354","2648.0","0.015664560706088355","12012.0","0.07105842265918932","68852.0","0.40730224083670524","70267.0","0.41567284257353115"
"2026-01-01","TOTAL","TOTAL","Philippines","472451.0","309445.0","0.6549779765520657","273353.0","0.8833653799544345","64925.0","0.2098111134450387","6726.0","0.02173568808673593","27227.0","0.08798655657709771","167701.0","0.5419412173407229","171341.0","0.5537042123802292"
"2026-01-01","TOTAL","TOTAL","Brazil","464861.0","314546.0","0.6766452767601498","284021.0","0.9029553705976232","86390.0","0.2746498127459895","5792.0","0.01841384090085393","25376.0","0.08067500460981859","155201.0","0.4934127281860205","158860.0","0.5050453669733521"
"2026-01-01","TOTAL","TOTAL","Mexico","685337.0","391201.0","0.5708155257924203","341634.0","0.8732953136622862","98808.0","0.2525760414722866","5969.0","0.015258140955672404","22439.0","0.05735926032908914","209302.0","0.5350241947234287","212283.0","0.5426443183938692"
"2026-01-01","TOTAL","TOTAL","Other LAC","953628.0","551413.0","0.5782265201944574","490046.0","0.8887095516427795","152875.0","0.2772422848209962","9996.0","0.018127973043798387","32283.0","0.05854595375879785","283268.0","0.5137129519978673","287541.0","0.5214621345525042"
